x1,x2,y
7,48,0
52,85,1
10,55,0
43,25,0
33,8,0
57,84,1
59,40,1
47,54,0
54,10,1
33,11,0
70,82,1
74,96,1
80,11,1
18,62,0
1,3,0
70,97,1
78,49,1
63,54,1
18,51,0
68,11,1
13,7,0
80,36,1
68,79,1
53,79,1
87,82,1
39,46,0
68,9,1
5,56,0
94,58,1
5,100,0
62,51,1
41,73,0
27,96,0
62,12,1
7,91,0
87,16,1
93,12,1
75,6,1
35,89,0
25,68,0
29,71,0
62,37,1
73,87,1
45,20,0
96,24,1
19,35,0
55,53,1
8,47,0
72,83,1
84,98,1
16,9,0
72,11,1
44,33,0
86,68,1
35,63,0
75,61,1
9,11,0
97,9,1
14,75,0
63,15,1
28,3,0
20,59,0
62,15,1
12,70,0
97,10,1
80,85,1
59,86,1
12,35,0
31,46,0
95,95,1
6,22,0
57,72,1
36,54,0
94,98,1
76,24,1
92,52,1
52,37,1
3,36,0
4,24,0
65,94,1
41,28,0
98,28,1
33,40,0
30,57,0
71,74,1
54,52,1
100,1,1
21,28,0
88,38,1
84,85,1
2,69,0
94,28,1
84,35,1
0,54,0
59,38,1
57,14,1
88,34,1
83,35,1
95,13,1
64,96,1
75,38,1
